  ISU IEM BUFKIT STATION LISTING 20230730 - MODIFIED BY KYLE J GILLETT
------------------------------------------------------------------------
Entries may be added, deleted, or edited, BUT FORMAT MUST BE MAINTAINED.
------------------------------------------------------------------------
NUM numbers must be sequential.      Coordinates are in decimal degrees.
------------------------------------------------------------------------

NUM,LAT,LON,ID,NAME,LOC,EL(m),NOTE
000160,   42.70,  -121.40,  G009, TAYLOR BUTTE                     , OR,       1524,0 GCIP 2-99
000161,   32.42,  -110.73,  G010, CATALINA MTNS FLX STN            , AZ,       2414,0 GEWEX 7-02
000162,   36.61,   -97.49,  G011, SGP EXPER FLX STN                , OK,       307 ,0 GEWEX 7-02
000170,   45.68,  -121.27,  COL1, COLUMBIA RIVER SITE              , OR,       1   ,0 61 Usr Rqst 2-01
000171,   45.72,  -121.56,  COL2, COLUMBIA RIVER SITE              , OR,       2   ,0 61 Usr Rqst 2-01
000172,   45.68,  -120.82,  COL3, COLUMBIA RIVER SITE              , OR,       3   ,0 61 Usr Rqst 2-01
000173,   45.72,  -120.21,  COL4, COLUMBIA RIVER SITE              , OR,       4   ,0 122 Usr Rqst 2-01
000180,   38.06,  -121.77,  TRAV, NEAR TRAVIS AFB -2 Usr Rqst-01   , CA,       0   ,0 Usr Rqst 2-01
000181,   37.10,  -122.28,  PESC, NEAR PESCADERO Usr Rqst-01       , CA,       0   ,0 Usr Rqst 2-01
000182,   37.82,  -122.47,  PTBA, NEAR PT. BONITA Usr Rqst-01      , CA,       0   ,0 Usr Rqst 2-01
000183,   37.94,  -122.50,  SANQ, NEAR SAN QUENTIN                 , CA,       1   ,0 Usr Rqst 2-01
000184,   37.07,  -121.12,  GLRY, NEAR GILROY                      , CA,       98  ,0 Usr Rqst 2-01
000185,   40.20,  -113.30,  KBNV, BONNEVILLE LAKE BED -999 Usr Rq  , UT,       0   ,0 Usr Rqst 2-01
000190,   40.42,   -73.98,  ATLH, ATLANTIC HIGHLANDS               , NJ,       1   ,0 Usr Rqst 2-01
000191,   37.20,   -74.80,  ATL1, BEACH-01                         , VA,       0   ,0
000192,   36.05,   -74.25,  ATL2, OFFSHORE DUCK-01                 , NC,       0   ,0
000193,   32.80,   -77.20,  ATL3, SOUTH CAPE FEAR-01               , NC,       0   ,0
