    IGRAv2 STATION LISTING 20230723 - MODIFIED BY KYLE J GILLETT
------------------------------------------------------------------------
Entries may be added, deleted, or edited, BUT FORMAT MUST BE MAINTAINED.
------------------------------------------------------------------------

------------------------------------------------------------------------


ID,LAT,LON,EL(m),NAME
ASM00094203, -17.9475,  122.2353,   17.4,  BROOME AIRPORT                
ASM00094205, -17.3167,  123.6333,    8.0,  DERBY                         
ASM00094212, -18.2292,  127.6636,  410.3,  HALLS CREEK AIRPORT           
ASM00094234, -16.2667,  133.3833,  217.0,  DALY WATERS                   
ASM00094238, -19.6422,  134.1833,  376.7,  TENNANT CREEK AIRPORT         
ASM00094259, -17.7333,  139.5333,    8.0,  BURKETOWN                     
ASM00094266, -17.6833,  141.0667,   22.0,  NORMANTON AIRPORT             
ASM00094287, -16.8736,  145.7458,    3.0,  CAIRNS AERO                   
ASM00094294, -19.2483,  146.7661,    5.5,  TOWNSVILLE AERO               
ASM00094299, -16.2833,  149.9650,    9.0,  WILLIS ISLAND                 
ASM00094300, -24.8878,  113.6700,    4.0,  CARNARVON AIRPORT             
ASM00094302, -22.2406,  114.0967,    6.0,  LEARMONTH AIRPORT             
ASM00094305, -21.6333,  115.1167,    3.0,  ONSLOW                        
ASM00094312, -20.3725,  118.6317,   10.1,  PORT HEDLAND AIRPORT          
ASM00094326, -23.7950,  133.8889,  545.3,  ALICE SPRINGS AIRPORT         
ASM00094332, -20.6778,  139.4875,  341.7,  MOUNT ISA AERO                
ASM00094335, -20.6667,  140.5000,  189.0,  CLONCURRY                     
ASM00094346, -23.4372,  144.2769,  191.1,  LONGREACH AERO                
ASM00094367, -21.1172,  149.2169,   30.3,  MACKAY M.O                    
ASM00094374, -23.3753,  150.4775,   10.4,  ROCKHAMPTON AERO              
ASM00094380, -23.8500,  151.2500,   75.0,  GLADSTONE                     
ASM00094403, -28.8044,  114.6989,   36.9,  GERALDTON AIRPORT             
ASM00094430, -26.6136,  118.5372,  522.1,  MEEKATHARRA AIRPORT           
ASM00094461, -25.0342,  128.3011,  580.0,  GILES METEOROLOGICAL OFFICE   
ASM00094476, -27.5500,  135.4833,  116.0,  OODNADATTA                    
ASM00094510, -26.4139,  146.2558,  305.7,  CHARLEVILLE AERO              
ASM00094568, -27.6500,  152.7167,   26.0,  AMBERLEY                      
ASM00094578, -27.3917,  153.1292,    4.0,  BRISBANE AERO                 
ASM00094610, -31.9275,  115.9764,   20.4,  PERTH AIRPORT                 
ASM00094637, -30.7847,  121.4533,  366.7,  KALGOORLIE-BOULDER AIRPORT    
ASM00094638, -33.8300,  121.8925,   25.0,  ESPERANCE                     
ASM00094646, -30.8330,  128.1000,  160.0,  FORREST AIRPORT               
ASM00094647, -31.6667,  128.8667,  101.0,  EUCLA                         
ASM00094653, -32.1297,  133.6975,   23.5,  CEDUNA AMO                    
ASM00094659, -31.1558,  136.8053,  167.0,  WOOMERA AERODROME             
ASM00094672, -34.9525,  138.5203,    6.1,  ADELAIDE AIRPORT              
ASM00094693, -34.2358,  142.0867,   50.6,  MILDURA AIRPORT               
ASM00094703, -30.0833,  145.9667,  108.0,  BOURKE (S23'05'11'17)         
ASM00094711, -31.4839,  145.8294,  260.0,  COBAR MO                      
ASM00094723, -32.5667,  148.9500,  304.0,  WELLINGTON                    
ASM00094750, -34.9469,  150.5353,  122.0,  NOWRA RAN AIR STATION AWS     
ASM00094767, -33.9464,  151.1731,    6.4,  SYDNEY AIRPORT AMO            
ASM00094773, -30.5167,  151.6500,  980.0,  ARMIDALE                      
ASM00094776, -32.7933,  151.8358,    9.5,  WILLIAMTOWN RAAF              
ASM00094791, -30.3108,  153.1186,    5.5,  COFFS HARBOUR MO              
ASM00094802, -34.9414,  117.8022,   71.0,  ALBANY AIRPORT                
ASM00094821, -37.7472,  140.7739,   64.6,  MOUNT GAMBIER AERO            
ASM00094865, -37.8670,  144.7500,   16.0,  LAVERTON AERODROME            
ASM00094866, -37.6656,  144.8322,  132.3,  MELBOURNE AIRPORT             
ASM00094907, -38.1000,  147.1333,    5.0,  EAST SALE (AUS-AFB)           
ASM00094910, -35.1583,  147.4572,  220.7,  WAGGA WAGGA AMO               
ASM00094926, -35.3000,  149.1830,  575.0,  CANBERRA AIRPORT              
ASM00094968, -41.5330,  147.2000,  171.0,  LAUNCESTON AIRPORT            
ASM00094970, -42.8833,  147.3333,   55.0,  HOBART                        
ASM00094974, -42.2000,  145.0500,   15.0,  GEOGERTOWN                    
ASM00094975, -42.8339,  147.5033,    4.0,  HOBART AIRPORT                
ASM00094995, -31.5422,  159.0786,    5.2,  LORD HOWE ISLAND AERO         
ASM00094998, -54.4994,  158.9370,    6.0,  MACQUARIE ISLAND              
ASM00095527, -29.4897,  149.8472,  213.7,  MOREE AERO                    
ASM00095607, -33.6000,  115.4667,   15.0,  LUDLOW                        
ASXUA942005, -19.2800,  121.5000,    3.0,  TALGARNO                      
ASXUA946505, -30.0100,  131.5830,  290.0,  MARALINGA                     
ATM00094772, -30.2167,  151.6833, 1332.0,  GUYRA HOSPITAL                
AUM00011010,  48.2353,   14.1881,  298.0,  LINZ/HOERSCHING-FLUGHAFEN     
AUM00011035,  48.2486,   16.3564,  200.0,  WIEN/HOHE WARTE               
AUM00011120,  47.2603,   11.3439,  581.0,  INNSBRUCK-FLUGHAFEN           
AUM00011240,  46.9931,   15.4392,  340.0,  GRAZ-THALERHOF-FLUGHAFEN      
AYM00088967, -77.9667,  -38.8000,   32.0,  GENERAL BELGRANO              
AYM00089001, -70.3170,   -2.3670,   52.0,  USAF-DS3-617                  
AYM00089002, -70.6667,   -8.2500,   50.0,  NEUMAYER                      
AYM00089009, -90.0000,   -0.0000, 2835.0,  AMUNDSEN-SCOTT                
AYM00089022, -75.4450,  -26.2181,   30.0,  HALLEY                        
AYM00089050, -62.1830,  -58.8830,   16.0,  BELLINGSHAUSEN AWS            
AYM00089051, -63.4667,  -56.2833,   18.0,  PETREL NAS                    
AYM00089055, -64.2333,  -56.7167,  208.0,  BASE MARAMBIO                 
AYM00089056, -62.1833,  -58.9833,   48.0,  CENTRO MET. ANTARTICO PDTE. ED
AYM00089062, -67.5661,  -68.1297,    3.0,  ROTHERA                       
AYM00089063, -65.2500,  -64.2667,   11.0,  FARADAY                       
AYM00089125, -80.0170, -119.5330, 1515.0,  USAF-DS3-619                  
AYM00089512, -70.7678,   11.8317,  118.9,  NOVOLAZAREVSKAJA              
AYM00089522, -70.4333,   24.3167,   38.0,  BASE ROI BAUDOUIN             
AYM00089532, -69.0053,   39.5811,   18.4,  SYOWA                         
AYM00089542, -67.6670,   45.8500,   40.0,  USAF-DS3-620                  
AYM00089557, -78.4000,   87.5830, 3571.0,  SOVIETSKAVA                   
AYM00089564, -67.6017,   62.8753,    9.9,  MAWSON                        
AYM00089571, -68.5744,   77.9672,   18.0,  DAVIS                         
AYM00089592, -66.5519,   93.0147,   43.4,  MIRNYJ                        
AYM00089593, -69.7300,   95.0500, 2701.0,  PIONERSKAVA                   
AYM00089601, -66.2700,  100.7300,  290.0,  BUNGER OASIS                  
AYM00089606, -78.4500,  106.8670, 3486.0,  VOSTOK                        
AYM00089611, -66.2825,  110.5231,   40.0,  CASEY                         
AYM00089625, -75.1017,  123.4119, 3233.0,  CONCORDIA                     
AYM00089642, -66.6631,  140.0011,   43.0,  DUMONT D'URVILLE              
AYM00089657, -69.5000,  159.4000,  304.0,  LENINGRADSKAJA                
AYM00089662, -74.6958,  164.0922,   92.0,  MARIO ZUCHELLI STATION        
AYM00089664, -77.8500,  166.6667,   24.0,  MCMURDO                       
AYM00089671, -72.3000,  170.2167,    5.2,  ADARE HALLETT                 
AYW00057401, -77.7333,  -41.1167,   43.3,  ELLSWORTH IGY                 
AYW00067401, -79.2500, -147.5000,  651.1,  LITTLE ROCKFORD               
AYW00067402, -76.2667, -147.5000,  591.0,  LITTLE ROCKFORD               
AYXUA891755, -78.2000, -162.2500,   32.0,  LITTLE AMERICA                
AYXUAE05498, -78.5700, -163.9300,    5.0,  LITTLE AMERICA I              
AYXUAE05532, -78.5000, -163.8000,   10.0,  LITTLE AMERICA                
BAM00040427,  26.2670,   50.6170,    2.0,  USAF-DS3-247                  
BBM00078954,  13.0667,  -59.4833,   50.0,  GRANTLEY ADAMS                
BCM00068032, -19.9833,   23.4167,  945.0,  MAUN                          
