      RAOB STATION LISTING 20181221 - MODIFIED BY KYLE J GILLETT
------------------------------------------------------------------------
Entries may be added, deleted, or edited, BUT FORMAT MUST BE MAINTAINED.
------------------------------------------------------------------------
WMO numbers must be sequential.      Coordinates are in decimal degrees.
------------------------------------------------------------------------

WMO,ICAO,NAME,LOC,EL(m),LAT,A,LON,B,

04220, BGEM, EGEDESMINDE/AUSIAT,         GL,   41,  68.70, N,   52.85, W
04230, BGHB, HOLSTEINSBORG,              GL,    9,  66.92, N,   53.67, W
04231, BGSF, SONDRESTROM,                GL,   46,  67.00, N,   50.80, W
04255, BMKA, MARRAK POINT,               GL,   41,  63.43, N,   51.18, W
04270, BGBW, NARSARSSUAK,                GL,   26,  61.18, N,   45.42, W
04310, ----, NORD,                       GL,   40,  81.60, N,   16.70, W
04320, BGDH, DANMARKSHAVN (PORT),        GL,   12,  76.77, N,   18.67, W
04330, BGDB, DANEBORG (AUT),             GL,   44,  74.30, N,   20.22, W
04339, BGSC, SCORESBYSUND,               GL,   69,  70.48, N,   21.95, W
04342, ----, WALRUS BAY,                 GL,    7,  70.50, N,   21.97, W
04353, BIKA, IKATEQ,                     GL,   56,  65.93, N,   36.68, W
04360, BGAM, ANGMAGSSALIK,               GL,   52,  65.60, N,   37.63, W
04417,     , GEOSUMMIT,                  GL, 3255,  72.58, N,   38.46, W
06010, EKVG, SOERVAAG/VAGAR,             FA,   85,  62.07, N,    7.27, W
06011, ----, THORSHAVN (PORT),           FA,   39,  62.02, N,    6.77, W
06030, EKYT, AALBORG,                    DN,    3,  57.10, N,    9.87, E
06060, ----, KARUP,                      DN,   53,  56.30, N,    9.12, E
06080, EKEB, ESBJERG,                    DN,   29,  55.52, N,    8.55, E
06173, ----, STEVNS,                     DN,   40,  55.28, N,   31.40, E
06181, ----, KOEBENHAVN\JAEGERSBORG,     DN,   40,  55.77, N,   12.53, E
06210, EHVB, VALKENBURG,                 NL,    2,  52.18, N,    4.42, E
06235, EHKD, DE KOOY,                    NL,    2,  52.92, N,    4.78, E
06242, ----, VLIELAND,                   NL,    5,  53.25, N,    4.92, E
06260, EHDB, DE BILT,                    NL,    4,  52.10, N,    5.18, E
06320, ----, LE GOEREE,                  NL,   19,  51.93, N,    3.67, E
06400, EBFN, KOKSIJDE (BEL-AFB),         BX,    9,  51.08, N,    2.65, E
06447, ----, UCCLE/UKKLE,                BX,  104,  50.80, N,    4.35, E
06458, EBBE, BEAUVECHAIN,                BX,  127,  50.75, N,    4.77, E
06463, EBTN, GOETSENHOVEN (MIL),         BX,   81,  50.78, N,    4.95, E
06476, ESBU, SAINT HUBERT (MIL),         BX,  557,  50.03, N,    5.40, E
06496, EBLB, ELSENBORN (MIL),            BX,  570,  50.47, N,    6.18, E
06610, LSMP, PAYERNE (MIL/AUT),          SW,  491,  46.82, N,    6.95, E
06680, ----, SAENTIS (AUT),              SW, 2500,  47.25, N,    9.35, E
07010, ----, DUNKERQUE,                  FR,   23,  51.05, N,    2.33, E
07100, ----, OUESSANT ISLAND,            FR,   32,  48.47, N,    5.13, W
07107, ----, BRIGNOGAN,                  FR,   22,  48.68, N,    4.33, W
07110, LFRB, BREST/GUIPAVAS,             FR,  103,  48.45, N,    4.42, W
07130, LFRN, RENNES/ST. JACQUES,         FR,   37,  48.07, N,    1.73, W
07139, ----, ALENCON,                    FR,  141,  48.45, N,    0.10, E
07145, ----, TRAPPES (AUT),              FR,  168,  48.77, N,    2.02, E
07149, LFPO, PARIS/ORLY,                 FR,   96,  48.73, N,    2.40, E
07180, LFSN, NANCY/ESSEY,                FR,  217,  48.63, N,    6.22, E
07210, ----, VANNES (AUT),               FR,   11,  47.63, N,    2.75, W
07240, LFOT, TOURS/ST. SYMPHO,           FR,  112,  47.45, N,    0.72, E
07255, ----, BOURGES,                    FR,  162,  47.07, N,    2.37, E
07280, LFSD, DIJON/LONGVIC,              FR,  227,  47.27, N,    5.08, W
07412, ----, CONIAC,                     FR,   30,  45.67, N,    0.32, W
07480, LFLY, LYON/BRON,                  FR,  201,  45.72, N,    4.95, E
07481, LFLL, LYON/SATOLAS,               FR,  240,  45.73, N,    5.08, E
07500, ----, CAPE FERRET,                FR,   10,  44.63, N,    1.25, W
07510, LFBD, BORDEAUX/MERIGNAC,          FR,   61,  44.83, N,    0.70, W
07579, LFMO, ORANGE/CARITAT,             FR,   55,  44.13, N,    4.83, E
07645, LFME, NIMES/COURBESSAC,           FR,   62,  43.87, N,    4.40, E
07690, LFMN, NICE/COTE D'AZUR,           FR,   10,  43.65, N,    7.20, E
07749, ----, CAPE BEAR,                  FR,   86,  42.52, N,    3.13, E
07761, LFKJ, AJACCIO/CAMPO ORO,          FR,    9,  41.92, N,    8.80, E
08001, ----, LA CORUNA CITY,             SP,   67,  43.37, N,    8.42, W
08002, LECO, LA CORUNA/ALVED,            SP,  103,  43.30, N,    8.38, W
08023, ----, SANTANDER CITY,             SP,   65,  43.47, N,    3.82, W
08029, LESO, SAN SEBASTIAN,              SP,    8,  43.35, N,    1.80, W
08094, ----, HUESCA/MONFLORITE,          SP,  554,  42.08, N,    0.33, W
08140, LEVD, VALLADOLID (MIL/CIV),       SP,  854,  41.72, N,    4.85, W
